Time_sec,Local_Field_Potential_mV
1.024,0.1534
1.025,0.1334
1.026,0.12439
1.027,0.079417
1.028,0.085349
1.029,0.037597
1.03,0.007967
1.031,0.0077902
1.032,-0.043492
1.033,-0.061393
1.034,-0.11422
1.035,-0.13415
1.036,-0.13892
1.037,-0.17974
1.038,-0.18759
1.039,-0.21858
1.04,-0.25333
1.041,-0.30902
1.042,-0.32049
1.043,-0.28785
1.044,-0.31811
1.045,-0.31451
1.046,-0.30422
1.047,-0.28632
1.048,-0.2752
1.049,-0.27691
1.05,-0.26009
1.051,-0.26697
1.052,-0.2705
1.053,-0.2519
1.054,-0.22613
1.055,-0.21085
1.056,-0.19659
1.057,-0.20343
1.058,-0.21999
1.059,-0.18041
1.06,-0.13624
1.061,-0.12677
1.062,-0.080217
1.063,-0.079375
1.064,-0.12282
1.065,-0.086367
1.066,-0.12496
1.067,-0.15396
1.068,-0.15482
1.069,-0.20758
1.07,-0.18788
1.071,-0.17147
1.072,-0.13962
1.073,-0.07674
1.074,-0.063203
1.075,-0.023979
1.076,-0.010126
1.077,-0.032525
1.078,-0.01598
1.079,-0.051956
1.08,-0.049921
1.081,-0.033528
1.082,-0.038158
1.083,0.013088
1.084,-0.037199
1.085,-0.057559
1.086,-0.00040394
1.087,-0.0011739
1.088,0.0087171
1.089,0.0090124
1.09,-0.001455
1.091,0.02972
1.092,0.035783
1.093,0.057669
1.094,0.082595
1.095,0.085155
1.096,0.11998
1.097,0.13596
1.098,0.11954
1.099,0.09752
1.1,0.058491
1.101,0.044427
1.102,0.08357
1.103,0.040519
1.104,0.052177
1.105,0.12348
1.106,0.13149
1.107,0.16445
1.108,0.17227
1.109,0.20762
1.11,0.23119
1.111,0.20374
1.112,0.21057
1.113,0.19821
1.114,0.19744
1.115,0.21282
1.116,0.17424
1.117,0.13386
1.118,0.11167
1.119,0.067312
1.12,0.056922
1.121,0.088108
1.122,0.097492
1.123,0.12301
1.124,0.12164
1.125,0.10584
1.126,0.13124
1.127,0.14433
1.128,0.20689
1.129,0.25736
1.13,0.24453
1.131,0.2708
1.132,0.28122
1.133,0.27427
1.134,0.23164
1.135,0.20268
1.136,0.23504
1.137,0.25186
1.138,0.27202
1.139,0.27612
1.14,0.30774
1.141,0.30845
1.142,0.28886
1.143,0.25428
1.144,0.26219
1.145,0.26783
1.146,0.19931
1.147,0.21332
1.148,0.22007
1.149,0.24378
1.15,0.26599
1.151,0.22925
1.152,0.19426
1.153,0.15065
1.154,0.13499
1.155,0.11998
1.156,0.094302
1.157,0.082296
1.158,0.098336
1.159,0.15133
1.16,0.15881
1.161,0.13507
1.162,0.14688
1.163,0.14173
1.164,0.13797
1.165,0.13195
1.166,0.12552
1.167,0.13456
1.168,0.11605
1.169,0.10133
1.17,0.099066
1.171,0.09422
1.172,0.093416
1.173,0.10453
1.174,0.09041
1.175,0.07052
1.176,0.13528
1.177,0.16148
1.178,0.13615
1.179,0.14189
1.18,0.12182
1.181,0.088195
1.182,0.078148
1.183,0.073236
1.184,0.053776
1.185,0.059797
1.186,0.075952
1.187,0.10212
1.188,0.14726
1.189,0.1636
1.19,0.13915
1.191,0.10909
1.192,0.13988
1.193,0.16782
1.194,0.15118
1.195,0.14978
1.196,0.1251
1.197,0.095591
1.198,0.067439
1.199,0.066692
1.2,0.076817
1.201,0.0058612
1.202,-4.33E-05
1.203,0.039924
1.204,0.045036
1.205,0.050972
1.206,0.061575
1.207,0.10286
1.208,0.12203
1.209,0.12285
1.21,0.12886
1.211,0.12452
1.212,0.12457
1.213,0.14548
1.214,0.13275
1.215,0.094969
1.216,0.077895
1.217,0.0051914
1.218,-0.030625
